,time,min,avg,max,norm_factor
583,1712417149.056041,0.305,0.38596,0.426,0.39577
584,1712417305.815961,0.289,0.38546,0.418,0.39929
585,1712417461.728092,0.273,0.36611,0.41,0.38748
586,1712417606.5224426,0.305,0.39476,0.422,0.39527
587,1712418062.8215027,0.257,0.35179,0.402,0.3925
588,1712418218.860997,0.317,0.35757,0.406,0.39225
589,1712418397.0876343,0.269,0.36586,0.394,0.40255
590,1712418575.212231,0.297,0.3636,0.406,0.39502
591,1712418731.2569344,0.249,0.33144,0.39,0.38245
592,1712419187.3391175,0.209,0.35832,0.386,0.39954
593,1712419365.4859827,0.273,0.34777,0.398,0.39326
594,1712419543.6612844,0.289,0.35883,0.398,0.39350999999999997
595,1712419699.6161613,0.289,0.35883,0.398,0.3925
596,1712419855.5397663,0.273,0.3445,0.37,0.39552
597,1712420334.034139,0.241,0.33772,0.39,0.39326
598,1712420512.1369915,0.281,0.34073,0.386,0.38647
599,1712420645.9903238,0.257,0.34199,0.37,0.38647
600,1712420801.9926958,0.265,0.34852,0.39,0.37994
601,1712420924.6530714,0.297,0.35204,0.394,0.37968999999999997
602,1712421391.6217265,0.245,0.31184,0.398,0.38044
603,1712421536.8418956,0.277,0.36159,0.402,0.38597
604,1712421692.940455,0.301,0.35229,0.402,0.39074
605,1712421893.2316544,0.333,0.37214,0.41,0.38622
606,1712422026.957698,0.281,0.36963,0.406,0.38547
607,1712422464.337795,0.245,0.34802,0.39,0.424
608,1712422708.3682292,0.293,0.33998,0.402,0.41939
609,1712422941.3420253,0.245,0.33973,0.386,0.42416
610,1712423185.3909986,0.257,0.34526,0.39,0.41185
611,1712423652.0798788,0.253,0.34526,0.394,0.39703
612,1712423807.700792,0.261,0.35028,0.39,0.39300999999999997
613,1712423930.1789458,0.281,0.37063,0.398,0.38899
614,1712424085.7992866,0.277,0.37516,0.406,0.40306
615,1712424241.4501445,0.241,0.33194,0.386,0.38798
616,1712424697.0922377,0.221,0.35204,0.39,0.40281
617,1712424874.8419166,0.261,0.34651,0.394,0.39728
618,1712425030.5143552,0.285,0.35707,0.37,0.38647
619,1712425186.1785805,0.289,0.37365,0.402,0.40783
620,1712425363.9134393,0.289,0.3641,0.402,0.4013
621,1712425819.5373027,0.273,0.35179,0.394,0.39400999999999997
622,1712425975.1587622,0.253,0.34953,0.386,0.39703
623,1712426130.784762,0.245,0.33923,0.39,0.38672
624,1712426286.3864324,0.253,0.33521,0.386,0.4018
625,1712426464.104861,0.261,0.34928,0.398,0.39602
626,1712426975.0474844,0.289,0.35079,0.406,0.39426
627,1712427130.6592498,0.277,0.35506,0.37,0.38572
628,1712427286.2790184,0.265,0.36862,0.406,0.40255
629,1712427497.177586,0.285,0.37038,0.41,0.39803
630,1712427641.8136384,0.293,0.35958,0.422,0.39904
631,1712428097.413724,0.289,0.35933,0.382,0.39828
632,1712428275.1480331,0.317,0.37591,0.406,0.40004
633,1712428408.690354,0.273,0.35129,0.386,0.39678
634,1712428553.2577248,0.305,0.37742,0.406,0.39426
635,1712428686.8124166,0.273,0.36285,0.39,0.39652
636,1712429142.4445252,0.261,0.33646,0.39,0.39426
637,1712429298.0730336,0.269,0.35229,0.386,0.39175
638,1712429442.6881917,0.313,0.37139,0.414,0.39225
639,1712429576.216128,0.257,0.34526,0.386,0.40281
640,1712429776.0736952,0.317,0.39073,0.418,0.39828
641,1712430209.604192,0.257,0.33822,0.39,0.38497
642,1712430365.2539546,0.277,0.34099,0.39,0.39904
643,1712430520.9006395,0.261,0.34274,0.366,0.38446
644,1712430676.540707,0.249,0.33043,0.366,0.40507
645,1712430854.2341473,0.269,0.34651,0.39,0.39728
646,1712431309.8768969,0.261,0.34073,0.386,0.39350999999999997
647,1712431487.6237934,0.293,0.343,0.39,0.40607
648,1712431742.6717093,0.241,0.33546,0.394,0.43069
649,1712432008.8725758,0.237,0.31812,0.382,0.4214
650,1712432219.7266145,0.241,0.31687,0.39,0.43119999999999997
651,1712432752.756793,0.233,0.31486,0.398,0.42165
652,1712432996.8371937,0.136,0.36008,0.418,0.41286
653,1712433141.3746967,0.217,0.33094,0.378,0.41311
654,1712433296.9762123,0.233,0.32365,0.374,0.41512
655,1712433441.5848024,0.273,0.35883,0.402,0.40783
656,1712433875.1327822,0.237,0.32038,0.382,0.40984
657,1712434019.6737936,0.289,0.37013,0.402,0.39276
658,1712434142.138479,0.293,0.3641,0.41,0.39879
659,1712434275.7365313,0.233,0.33847,0.39,0.40431
660,1712434420.3003044,0.309,0.3744,0.394,0.38949
661,1712434853.8087776,0.233,0.3342,0.378,0.40105
662,1712435009.433208,0.225,0.31913,0.374,0.39627
663,1712435154.0000153,0.293,0.37365,0.402,0.40306
664,1712435276.4935796,0.325,0.38973,0.406,0.39828
665,1712435410.306507,0.241,0.32993,0.358,0.38572
666,1712435866.35451,0.229,0.31636,0.358,0.40884
667,1712435966.9061587,0.237,0.31335,0.362,0.41863
668,1712436144.7349534,0.237,0.32114,0.382,0.40507
669,1712436300.7031426,0.233,0.31586,0.378,0.39049
670,1712436445.3488793,0.217,0.32893,0.366,0.41059
671,1712436967.483376,0.245,0.294,0.346,0.42592
672,1712437145.6754475,0.209,0.32893,0.394,0.42215
673,1712437290.801049,0.201,0.31285,0.35,0.39828
674,1712437413.8991795,0.293,0.36862,0.406,0.4126
675,1712437547.6068006,0.213,0.32742,0.346,0.40482
676,1712437992.893195,0.285,0.35631,0.402,0.40657
677,1712438148.8729315,0.241,0.32013,0.378,0.40683
678,1712438305.0441203,0.201,0.31561,0.366,0.40557
679,1712438505.337416,0.257,0.33872,0.378,0.42592
680,1712438705.4912324,0.225,0.30154,0.362,0.42039
681,1712439216.8981233,0.193,0.3136,0.374,0.42567
682,1712439361.9415987,0.237,0.31913,0.378,0.41185
683,1712439484.9328098,0.249,0.3131,0.37,0.41587
684,1712439585.9693713,0.233,0.33244,0.37,0.42441
685,1712439775.2102463,0.205,0.29149,0.35,0.42642
686,1712440286.4341674,0.229,0.33043,0.37,0.42667
687,1712440497.6272292,0.189,0.30732,0.378,0.42316
688,1712440675.8059084,0.245,0.32063,0.341,0.42416
689,1712440864.8415008,0.237,0.31762,0.366,0.42693
690,1712441042.9073668,0.241,0.3033,0.374,0.41662
691,1712441465.767095,0.177,0.31687,0.402,0.4209
692,1712441566.3525872,0.197,0.32918,0.366,0.42416
693,1712441744.3932846,0.241,0.30204,0.386,0.42818
694,1712441933.8157208,0.217,0.29224,0.358,0.41537
695,1712442067.7295523,0.277,0.32641,0.366,0.40482
696,1712442490.8332176,0.233,0.31033,0.35,0.40783
697,1712442613.5673957,0.217,0.32063,0.378,0.41637
698,1712442736.5464592,0.329,0.39878,0.422,0.40758
699,1712442871.0664601,0.189,0.30933,0.35,0.4013
700,1712442993.8285184,0.193,0.31536,0.358,0.41587
701,1712443416.6527755,0.237,0.31159,0.362,0.40733
702,1712443539.6233299,0.237,0.31611,0.358,0.39552
703,1712443662.5441213,0.233,0.32164,0.366,0.40356
704,1712443785.6416078,0.233,0.31385,0.366,0.40884
705,1712443908.3472815,0.249,0.3244,0.358,0.39602
706,1712444309.3196802,0.229,0.31712,0.362,0.39778
707,1712444432.2332017,0.225,0.30053,0.366,0.4008
708,1712444555.0510464,0.213,0.32139,0.382,0.40858
709,1712444666.8872101,0.201,0.2837,0.346,0.42517
710,1712444844.9385662,0.205,0.30204,0.354,0.42592
711,1712445300.9272969,0.153,0.26084,0.321,0.41487
712,1712445423.8401444,0.229,0.32415,0.402,0.41939
713,1712445546.7296617,0.161,0.26988,0.325,0.41411
714,1712445702.6624691,0.205,0.25405,0.325,0.42743
