,time,x,z
2977,1712499991.0672283,0.0,20.0
2978,1712500135.7036254,0.0,-45.0
2979,1712500146.760533,-10.0,0.0
2980,1712500301.4851196,0.0,65.0
2981,1712500456.5786138,0.0,-20.0
2982,1712500467.634212,-10.0,0.0
2983,1712500533.9290488,0.0,25.0
2984,1712500912.226968,0.0,-15.0
2985,1712500923.2756526,-10.0,0.0
2986,1712500989.539309,0.0,25.0
2987,1712501112.1640208,0.0,-35.0
2988,1712501123.2492013,-10.0,0.0
2989,1712501244.8296516,0.0,50.0
2990,1712501396.1459413,0.0,-15.0
2991,1712501407.1904335,-10.0,0.0
2992,1712501462.4303386,0.0,20.0
2993,1712501529.699977,0.0,-10.0
2994,1712501540.749913,-10.0,0.0
2995,1712501584.9409385,0.0,15.0
2996,1712501974.26718,0.0,-20.0
2997,1712501985.3346896,-10.0,0.0
2998,1712502051.6483502,0.0,25.0
2999,1712502107.8560164,0.0,-5.0
3000,1712502118.9152715,-10.0,0.0
3001,1712502140.9964314,0.0,5.0
3002,1712502197.19736,0.0,-5.0
3003,1712502208.2597506,-10.0,0.0
3004,1712502230.323189,0.0,5.0
3005,1712502286.5039208,0.0,-5.0
3006,1712502297.5464454,-10.0,0.0
3007,1712502330.6679864,0.0,10.0
3008,1712502386.890254,0.0,-5.0
3009,1712502397.9576795,-10.0,0.0
3010,1712502420.05056,0.0,5.0
3011,1712502776.2447963,0.0,-5.0
3012,1712502787.3083389,-10.0,0.0
3013,1712502809.3886948,0.0,5.0
3014,1712502887.693819,0.0,-15.0
3015,1712502898.7497072,-10.0,0.0
3016,1712502953.9711034,0.0,20.0
3017,1712503010.1988177,0.0,-5.0
3018,1712503021.244185,-10.0,0.0
3019,1712503054.3692741,0.0,10.0
3020,1712503121.6073222,0.0,-10.0
3021,1712503132.6538985,-10.0,0.0
3022,1712503165.7981777,0.0,10.0
3023,1712503221.9979887,0.0,-5.0
3024,1712503233.0477686,-10.0,0.0
3025,1712503266.1698315,0.0,10.0
3026,1712503644.45758,0.0,-15.0
3027,1712503655.5100932,-10.0,0.0
3028,1712503710.7242076,0.0,20.0
3029,1712503766.9296942,0.0,-5.0
3030,1712503777.9810555,-10.0,0.0
3031,1712503800.067765,0.0,5.0
3032,1712503856.296897,0.0,-5.0
3033,1712503867.362462,10.0,0.0
3034,1712503900.4977705,0.0,10.0
3035,1712503967.718774,0.0,-10.0
3036,1712503978.7715528,10.0,0.0
3037,1712504022.939279,0.0,15.0
3038,1712504079.134894,0.0,-5.0
3039,1712504090.1781282,-10.0,0.0
3040,1712504112.2526677,0.0,5.0
3041,1712504480.006016,0.0,-10.0
3042,1712504491.2769856,10.0,0.0
3043,1712504535.4699335,0.0,15.0
3044,1712504591.88919,0.0,-5.0
3045,1712504603.084366,10.0,0.0
3046,1712504625.188348,0.0,5.0
3047,1712504681.5964494,0.0,-5.0
3048,1712504692.667749,10.0,0.0
3049,1712504725.9064558,0.0,10.0
3050,1712504793.4305053,0.0,-10.0
3051,1712504804.5773368,-10.0,0.0
3052,1712504837.7437108,0.0,10.0
3053,1712504894.3050754,0.0,-5.0
3054,1712504905.3609548,-10.0,0.0
3055,1712504938.513552,0.0,10.0
3056,1712505294.8586156,0.0,-5.0
3057,1712505305.9199111,-10.0,0.0
3058,1712505328.0060794,0.0,5.0
3059,1712505395.3373318,0.0,-10.0
3060,1712505406.5149255,-10.0,0.0
3061,1712505450.7482166,0.0,15.0
3062,1712505507.2067242,0.0,-5.0
3063,1712505518.2817647,-10.0,0.0
3064,1712505540.3944585,0.0,5.0
3065,1712505596.8675451,0.0,-5.0
3066,1712505607.9260616,-10.0,0.0
3067,1712505641.083959,0.0,10.0
3068,1712505697.548413,0.0,-5.0
3069,1712505708.6755338,-10.0,0.0
3070,1712505730.7743187,0.0,5.0
3071,1712506087.209102,0.0,-5.0
3072,1712506098.3676713,-10.0,0.0
3073,1712506120.4687076,0.0,5.0
3074,1712506176.8359506,0.0,-5.0
3075,1712506187.8915153,-10.0,0.0
3076,1712506221.0471754,0.0,10.0
3077,1712506277.467236,0.0,-5.0
3078,1712506288.6401849,-10.0,0.0
3079,1712506310.8040898,0.0,5.0
3080,1712506367.2533715,0.0,-5.0
3081,1712506378.5293853,-10.0,0.0
3082,1712506411.7113607,0.0,10.0
3083,1712506479.2353647,0.0,-10.0
3084,1712506490.2827644,-10.0,0.0
3085,1712506523.418036,0.0,10.0
3086,1712506879.7874773,0.0,-5.0
3087,1712506890.9076805,10.0,0.0
3088,1712506924.0657692,0.0,10.0
3089,1712506991.4460077,0.0,-10.0
3090,1712507002.600093,10.0,0.0
3091,1712507035.7418468,0.0,10.0
3092,1712507092.177358,0.0,-5.0
3093,1712507103.2500393,-10.0,0.0
3094,1712507136.400036,0.0,10.0
3095,1712507192.9194171,0.0,-5.0
3096,1712507204.014416,-10.0,0.0
3097,1712507226.0970566,0.0,5.0
3098,1712507282.5330803,0.0,-5.0
3099,1712507293.695901,-10.0,0.0
3100,1712507326.8545089,0.0,10.0
3101,1712507705.4707067,0.0,-15.0
3102,1712507716.59869,-10.0,0.0
3103,1712507771.8054612,0.0,20.0
3104,1712507828.2564719,0.0,-5.0
3105,1712507839.326379,-10.0,0.0
3106,1712507861.4112458,0.0,5.0
3107,1712507917.8302822,0.0,-5.0
3108,1712507928.940548,-10.0,0.0
3109,1712507962.150451,0.0,10.0
3110,1712508018.8583732,0.0,-5.0
3111,1712508030.0141127,-10.0,0.0
3112,1712508052.0892954,0.0,5.0
3113,1712508108.7341328,0.0,-5.0
3114,1712508119.8354254,10.0,0.0
3115,1712508141.8945253,0.0,5.0
3116,1712508498.2892873,0.0,-5.0
3117,1712508509.4321618,-10.0,0.0
3118,1712508542.588015,0.0,10.0
3119,1712508621.1970181,0.0,-15.0
3120,1712508632.282728,-10.0,0.0
3121,1712508687.6221836,0.0,20.0
